Serchhip,285,1369.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamit,281,3770.0,0.0,0.0,0.0,11.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolasib,282,1574.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hailakandi,318,1125.0,0.0,0.0,0.0,226.0,181.0,50.0,17.0,14.0,12.0,5.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karimganj,317,1599.0,0.0,0.0,0.0,324.0,210.0,76.0,40.0,22.0,10.0,6.0,4.0,7.0,3.0,7.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cachar,316,3291.0,0.0,0.0,0.0,595.0,424.0,128.0,48.0,30.0,20.0,16.0,9.0,10.0,6.0,9.0,4.0,6.0,5.0,4.0,0.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imphal West,277,331.0,0.0,0.0,0.0,11.0,6.0,4.0,5.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ri Bhoi,297,2629.0,0.0,0.0,0.0,22.0,48.0,15.0,9.0,7.0,6.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,298,2784.0,0.0,0.0,0.0,80.0,87.0,57.0,40.0,15.0,11.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Khasi Hills,296,6578.0,0.0,0.0,0.0,22.0,23.0,10.0,4.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Tripura,289,1584.0,0.0,0.0,0.0,439.0,402.0,221.0,154.0,123.0,82.0,53.0,38.0,29.0,36.0,23.0,23.0,15.0,17.0,7.0,12.0,4.0,5.0,3.0,7.0,5.0,3.0,1.0,4.0,3.0,1.0,5.0,5.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,5.0,3.0,2.0,5.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,0
Dhalai,291,2465.0,0.0,0.0,0.0,92.0,85.0,37.0,18.0,8.0,11.0,9.0,8.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Tripura,292,1758.0,0.0,0.0,0.0,201.0,170.0,67.0,29.0,20.0,23.0,8.0,3.0,8.0,4.0,8.0,5.0,6.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tripura,290,2758.0,0.0,0.0,0.0,444.0,286.0,81.0,39.0,21.0,24.0,7.0,14.0,5.0,2.0,9.0,4.0,3.0,2.0,2.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Garo Hills,295,2326.0,0.0,0.0,0.0,17.0,13.0,3.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Garo Hills,294,3373.0,0.0,0.0,1.0,69.0,129.0,45.0,15.0,10.0,10.0,3.0,5.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,293,3849.0,0.0,0.0,0.0,142.0,81.0,13.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhubri,301,2504.0,0.0,0.0,0.0,276.0,83.0,37.0,20.0,19.0,11.0,10.0,3.0,2.0,4.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
