DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Alappuzha	11	32	Kerala	598	27.1666666667
Pathanamthitta	12	32	Kerala	599	18.1666666667
Kottayam	10	32	Kerala	597	31.4545454545
Idukki	9	32	Kerala	596	13
Theni	23	33	Tamil Nadu	624	20.9024390244
Tiruppur	32	33	Tamil Nadu	633	44.0939369555
Coimbatore	31	33	Tamil Nadu	632	53.2261093684
Palakkad	6	32	Kerala	593	32.1602824994
Thrissur	7	32	Kerala	594	38.4579956919
Ernakulam	8	32	Kerala	595	54.0043236566
Lakshadweep	1	31	Lakshadweep	587	
Dakshina Kannada	21	29	Karnataka	575	53.2847590954
Udupi	15	29	Karnataka	569	33.7255720728
Kasaragod	1	32	Kerala	588	
Kannur	2	32	Kerala	589	24.3119486768
Mahe	3	34	Puducherry	636	
Kozhikode	4	32	Kerala	591	40.9926801802
Kodagu	22	29	Karnataka	576	20.2
Chikmagalur	16	29	Karnataka	570	36.375
Hassan	20	29	Karnataka	574	39
Mysore	23	29	Karnataka	577	56.5019629615
Tumkur	17	29	Karnataka	571	41.6666666667
Mandya	19	29	Karnataka	573	40.5855562785
Wayanad	3	32	Kerala	590	14
Chamrajnagar	24	29	Karnataka	578	30.2727272727
The Nilgiris	10	33	Tamil Nadu	611	39.25
Malappuram	5	32	Kerala	592	19.4
Erode	9	33	Tamil Nadu	610	42.7119449829
Namakkal	8	33	Tamil Nadu	609	39.8876519012
Salem	7	33	Tamil Nadu	608	47.4210526316
Karur	12	33	Tamil Nadu	613	41.4456197711
Perambalur	14	33	Tamil Nadu	615	30.3786549708
Dharmapuri	29	33	Tamil Nadu	630	30.3888888889
Krishnagiri	30	33	Tamil Nadu	631	49.2735150465
Kolar	27	29	Karnataka	581	46.3846153846
Bangalore Rural	29	29	Karnataka	583	50.7692307692
Chikkaballapura	28	29	Karnataka	582	34.3157894737
Bangalore	18	29	Karnataka	572	62.8140905074
Ramanagara	30	29	Karnataka	584	48.7692307692
Anantapur	22	28	Andhra Pradesh	553	35.3020417742
Chitradurga	12	29	Karnataka	566	34.7941176471
Davanagere	13	29	Karnataka	567	41.4072305593
Bellary	11	29	Karnataka	565	43.2485140742
Kurnool	21	28	Andhra Pradesh	552	37.1962065489
Mahbubnagar	7	28	Andhra Pradesh	538	32.1640720184
Raichur	5	29	Karnataka	559	35.8571428571
Koppal	6	29	Karnataka	560	27.7900563607
Bagalkot	2	29	Karnataka	556	23.8403028885
Gadag	7	29	Karnataka	561	25.8920379647
Belgaum	1	29	Karnataka	555	27.5321955981
Dharwad	8	29	Karnataka	562	40.8048780488
Haveri	10	29	Karnataka	564	27.733118027
Uttara Kannada	9	29	Karnataka	563	27.3507588533
Shimoga	14	29	Karnataka	568	44.6204937304
South Goa	2	30	Goa	586	47.609676669
North Goa	1	30	Goa	585	39.3707865169
Kolhapur	34	27	Maharashtra	530	37.642360546
Sindhudurg	33	27	Maharashtra	529	4.3333333333
Ratnagiri	32	27	Maharashtra	528	35.7142857143
Sangli	35	27	Maharashtra	531	29.0551102984
Solapur	30	27	Maharashtra	526	23.8265163659
Satara	31	27	Maharashtra	527	24.4895339011
Pune	25	27	Maharashtra	521	50.6870938334
Raigarh	24	27	Maharashtra	520	40.9184315463
Ahmadnagar	26	27	Maharashtra	522	24.6564289805
Bid	27	27	Maharashtra	523	15.4678013604
Osmanabad	29	27	Maharashtra	525	10.7083950239
Parbhani	17	27	Maharashtra	513	20.398556231
Latur	28	27	Maharashtra	524	19.1720088861
Gulbarga	25	29	Karnataka	579	24.513912022
Bijapur	3	29	Karnataka	557	17.2011872361
Yadgir	26	29	Karnataka	580	13.6571428571
Bidar	4	29	Karnataka	558	18.3300170046
Rangareddy	6	28	Andhra Pradesh	537	53.8174412224
Medak	4	28	Andhra Pradesh	535	21.5521717561
Hyderabad	5	28	Andhra Pradesh	536	62.9902940337
Nizamabad	2	28	Andhra Pradesh	533	31.0345008298
Nanded	15	27	Maharashtra	511	23.2283165488
Hingoli	16	27	Maharashtra	512	17.2560579565
Jalna	18	27	Maharashtra	514	26.3209153805
Buldana	4	27	Maharashtra	500	13.5371618792
Washim	6	27	Maharashtra	502	15.72
Akola	5	27	Maharashtra	501	24.1619249665
Yavatmal	14	27	Maharashtra	510	24.0052077872
Amravati	7	27	Maharashtra	503	26.7420366981
Wardha	8	27	Maharashtra	504	29.7136684996
Burhanpur	50	23	Madhya Pradesh	467	31.2888888889
Jalgaon	3	27	Maharashtra	499	21.3220131603
Dhule	2	27	Maharashtra	498	24.8196320037
Aurangabad	19	27	Maharashtra	515	38.9101583468
Nashik	20	27	Maharashtra	516	41.72796982
Thane	21	27	Maharashtra	517	57.4180275607
The Dangs	22	24	Gujarat	489	6
Valsad	24	24	Gujarat	491	40.7547277664
Navsari	23	24	Gujarat	490	29.8476272534
Tapi	26	24	Gujarat	493	16.2215823736
Surat	25	24	Gujarat	492	40.594069505
Dadra & Nagar Haveli	1	26	Dadara & Nagar Havelli	496	54.7886728656
Daman	2	25	Daman & Diu	495	57.1202397743
Diu	1	25	Daman & Diu	494	
Mumbai Suburban	22	27	Maharashtra	518	62.5814091423
Mumbai	23	27	Maharashtra	519	62.7573164163
