DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Karimnagar	3	28	Andhra Pradesh	534	140098.721568627
Krishna	16	28	Andhra Pradesh	547	102722.631372549
Nalgonda	8	28	Andhra Pradesh	539	142940.6
Guntur	17	28	Andhra Pradesh	548	122123.6
Prakasam	18	28	Andhra Pradesh	549	96191.9568627451
West Godavari	15	28	Andhra Pradesh	546	77475.6078431373
Yanam	1	34	Puducherry	634	1383.7843137255
Vizianagaram	12	28	Andhra Pradesh	543	32921.4235294118
Srikakulam	11	28	Andhra Pradesh	542	40791.3137254902
Sri Potti Sriramulu Nellore	19	28	Andhra Pradesh	550	99954.9725490197
Y.s.r.	20	28	Andhra Pradesh	551	92668.7098039216
Chittoor	23	28	Andhra Pradesh	554	132119.043137255
Thiruvallur	1	33	Tamil Nadu	602	73610.6431372549
Kancheepuram	3	33	Tamil Nadu	604	110359.780392157
Chennai	2	33	Tamil Nadu	603	9697.6235294118
Vellore	4	33	Tamil Nadu	605	80431.2196078432
Tiruvannamalai	5	33	Tamil Nadu	606	58136.7647058824
Viluppuram	6	33	Tamil Nadu	607	80193.8823529412
Puducherry	2	34	Puducherry	635	11724.6392156863
Cuddalore	16	33	Tamil Nadu	617	62775.1568627451
Nagappattinam	17	33	Tamil Nadu	618	28501.5450980392
Ariyalur	15	33	Tamil Nadu	616	21425.1490196079
Thanjavur	19	33	Tamil Nadu	620	46150.7058823529
Karaikal	4	34	Puducherry	637	4477.9411764706
Thiruvarur	18	33	Tamil Nadu	619	24134.0039215686
Virudunagar	24	33	Tamil Nadu	625	43515.5960784314
Pudukkottai	20	33	Tamil Nadu	621	43848.5137254903
Ramanathapuram	25	33	Tamil Nadu	626	26026.3333333333
Sivaganga	21	33	Tamil Nadu	622	36811.1450980393
Tiruchirappalli	13	33	Tamil Nadu	614	58737.4980392158
Madurai	22	33	Tamil Nadu	623	45564.3882352942
Dindigul	11	33	Tamil Nadu	612	54193.9882352942
Thoothukkudi	26	33	Tamil Nadu	627	48521.2078431373
Tirunelveli	27	33	Tamil Nadu	628	84029.1411764707
Kollam	13	32	Kerala	600	29492.0980392157
Thiruvananthapuram	14	32	Kerala	601	37200.3176470588
Kanniyakumari	28	33	Tamil Nadu	629	27382.4431372549
Alappuzha	11	32	Kerala	598	20890.5803921569
Pathanamthitta	12	32	Kerala	599	16168.0941176471
Kottayam	10	32	Kerala	597	24007.5803921569
Idukki	9	32	Kerala	596	18073.737254902
Theni	23	33	Tamil Nadu	624	20491.937254902
Tiruppur	32	33	Tamil Nadu	633	70374.7882352942
Coimbatore	31	33	Tamil Nadu	632	77370.1764705883
Palakkad	6	32	Kerala	593	36365.0627450981
Thrissur	7	32	Kerala	594	36587.2666666667
Ernakulam	8	32	Kerala	595	50784.4980392157
Lakshadweep	1	31	Lakshadweep	587	359.6470588235
Dakshina Kannada	21	29	Karnataka	575	40805.1843137255
Udupi	15	29	Karnataka	569	24314.8117647059
Kasaragod	1	32	Kerala	588	14991.6156862745
Kannur	2	32	Kerala	589	24667.0862745098
Mahe	3	34	Puducherry	636	248.4549019608
Kozhikode	4	32	Kerala	591	23777.4666666667
Kodagu	22	29	Karnataka	576	9833.9882352941
Chikmagalur	16	29	Karnataka	570	26445.4039215686
Hassan	20	29	Karnataka	574	52226.9843137256
Mysore	23	29	Karnataka	577	68138.4784313726
Tumkur	17	29	Karnataka	571	88923.8705882354
Mandya	19	29	Karnataka	573	53987.4078431373
Wayanad	3	32	Kerala	590	10631.431372549
Chamrajnagar	24	29	Karnataka	578	28534.5137254902
The Nilgiris	10	33	Tamil Nadu	611	15171.3215686275
Malappuram	5	32	Kerala	592	28854.3450980392
Erode	9	33	Tamil Nadu	610	57475.8745098039
Namakkal	8	33	Tamil Nadu	609	52557.6705882353
Salem	7	33	Tamil Nadu	608	83907.2509803921
Karur	12	33	Tamil Nadu	613	32499.5254901961
Perambalur	14	33	Tamil Nadu	615	17019.831372549
Dharmapuri	29	33	Tamil Nadu	630	35081.6823529412
Krishnagiri	30	33	Tamil Nadu	631	45625.1647058825
Kolar	27	29	Karnataka	581	49052.6156862745
Bangalore Rural	29	29	Karnataka	583	44084.1647058823
Chikkaballapura	28	29	Karnataka	582	41279.2901960784
Bangalore	18	29	Karnataka	572	109159.968627451
Ramanagara	30	29	Karnataka	584	42528.8078431373
Anantapur	22	28	Andhra Pradesh	553	135379.643137255
Chitradurga	12	29	Karnataka	566	57530.2666666667
Davanagere	13	29	Karnataka	567	42836.6470588236
Bellary	11	29	Karnataka	565	76364.094117647
Kurnool	21	28	Andhra Pradesh	552	102359.015686275
Mahbubnagar	7	28	Andhra Pradesh	538	168213.760784314
Raichur	5	29	Karnataka	559	55832.1764705882
Koppal	6	29	Karnataka	560	38250.8549019608
Bagalkot	2	29	Karnataka	556	65453.9490196079
Gadag	7	29	Karnataka	561	23887.2745098039
Belgaum	1	29	Karnataka	555	132786.239215686
Dharwad	8	29	Karnataka	562	37144.9490196078
Haveri	10	29	Karnataka	564	36177.7490196078
Uttara Kannada	9	29	Karnataka	563	23988.4784313725
Shimoga	14	29	Karnataka	568	37930.4470588235
South Goa	2	30	Goa	586	23391.2980392157
North Goa	1	30	Goa	585	32616.9450980392
Kolhapur	34	27	Maharashtra	530	75353.8705882352
Sindhudurg	33	27	Maharashtra	529	21299.6235294118
Ratnagiri	32	27	Maharashtra	528	36122.1529411765
Sangli	35	27	Maharashtra	531	75284.9490196079
Solapur	30	27	Maharashtra	526	149664.164705882
Satara	31	27	Maharashtra	527	91548.7960784314
Pune	25	27	Maharashtra	521	243638.733333334
Raigarh	24	27	Maharashtra	520	90150.1294117647
Ahmadnagar	26	27	Maharashtra	522	158404.329411765
Bid	27	27	Maharashtra	523	83191.9843137255
Osmanabad	29	27	Maharashtra	525	52003.1647058823
Parbhani	17	27	Maharashtra	513	43748.4352941177
Latur	28	27	Maharashtra	524	46570.1607843138
Gulbarga	25	29	Karnataka	579	86400.380392157
Bijapur	3	29	Karnataka	557	63664.8000000001
Yadgir	26	29	Karnataka	580	34005.1882352941
Bidar	4	29	Karnataka	558	46099.5137254902
Rangareddy	6	28	Andhra Pradesh	537	164957.666666667
Medak	4	28	Andhra Pradesh	535	127077.588235294
Hyderabad	5	28	Andhra Pradesh	536	13724.8745098039
Nizamabad	2	28	Andhra Pradesh	533	93726.6352941177
Nanded	15	27	Maharashtra	511	65676.6627450981
Hingoli	16	27	Maharashtra	512	28123.2392156863
Jalna	18	27	Maharashtra	514	54219.8078431373
Buldana	4	27	Maharashtra	500	59483.3568627452
Washim	6	27	Maharashtra	502	31423.4039215686
Akola	5	27	Maharashtra	501	40105.5882352941
Yavatmal	14	27	Maharashtra	510	76684.8666666667
Amravati	7	27	Maharashtra	503	67310.380392157
Wardha	8	27	Maharashtra	504	38957.4823529413
Burhanpur	50	23	Madhya Pradesh	467	6243.5882352941
Jalgaon	3	27	Maharashtra	499	85844.9647058825
Dhule	2	27	Maharashtra	498	33736.2745098039
Aurangabad	19	27	Maharashtra	515	82335.3490196079
Nashik	20	27	Maharashtra	516	128751.698039216
Thane	21	27	Maharashtra	517	135504.109803922
The Dangs	22	24	Gujarat	489	1569.7882352941
Valsad	24	24	Gujarat	491	32991.4901960784
Navsari	23	24	Gujarat	490	21999.3490196078
Tapi	26	24	Gujarat	493	19819.0666666667
Surat	25	24	Gujarat	492	80971.9215686275
Dadra & Nagar Haveli	1	26	Dadara & Nagar Havelli	496	12762.031372549
Daman	2	25	Daman & Diu	495	4323.9882352941
Diu	1	25	Daman & Diu	494	977.0078431373
Mumbai Suburban	22	27	Maharashtra	518	32173.0235294118
Mumbai	23	27	Maharashtra	519	9728.5294117647
