DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	sum
Baksa	25	18	Assam	324	2733.1294117647
Kamrup	22	18	Assam	321	16616.6901960784
Kamrup Metropolitan	23	18	Assam	322	19584.2549019608
Nalbari	24	18	Assam	323	3825.0941176471
Darrang	26	18	Assam	325	6004.1137254902
Udalguri	27	18	Assam	326	7041.0274509804
Leh (ladakh)	3	1	Jammu & Kashmir	3	3076
Data Not Available	99	99	Jammu & Kashmir	0	63523.5294117647
Punch	5	1	Jammu & Kashmir	5	6367.3764705882
Kupwara	1	1	Jammu & Kashmir	1	995
Baramula	8	1	Jammu & Kashmir	8	6569.9921568628
Bandipore	9	1	Jammu & Kashmir	9	1170.0588235294
Ganderbal	11	1	Jammu & Kashmir	11	15.3333333333
Srinagar	10	1	Jammu & Kashmir	10	10075.1960784314
Badgam	2	1	Jammu & Kashmir	2	6374.368627451
Pulwama	12	1	Jammu & Kashmir	12	2585.1764705882
Shupiyan	13	1	Jammu & Kashmir	13	417.0549019608
Rajouri	6	1	Jammu & Kashmir	6	4365.568627451
Kulgam	15	1	Jammu & Kashmir	15	566.5921568627
Anantnag	14	1	Jammu & Kashmir	14	2850.6078431373
Kargil	4	1	Jammu & Kashmir	4	1327
Kishtwar	18	1	Jammu & Kashmir	18	1082
Lahul & Spiti	3	2	Himachal Pradesh	25	96
Chamba	1	2	Himachal Pradesh	23	6959.5254901961
Kangra	2	2	Himachal Pradesh	24	35251.7764705882
Kullu	4	2	Himachal Pradesh	26	9867.0549019608
Kinnaur	12	2	Himachal Pradesh	34	3092.7843137255
Mandi	5	2	Himachal Pradesh	27	20583.4980392157
Hamirpur	6	2	Himachal Pradesh	28	11430.5450980392
Solan	9	2	Himachal Pradesh	31	31371.0745098039
Bilaspur	8	2	Himachal Pradesh	30	14400.2352941177
Una	7	2	Himachal Pradesh	29	18153.6352941176
Rupnagar	17	3	Punjab	51	24973.5176470588
Shahid Bhagat Singh Nagar	5	3	Punjab	39	21089.5607843137
Shimla	11	2	Himachal Pradesh	33	19210.937254902
Sirmaur	10	2	Himachal Pradesh	32	15264.9843137255
