DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Y.s.r.	20	28	Andhra Pradesh	551	5.0657951462
Chittoor	23	28	Andhra Pradesh	554	7.2434495742
Thiruvallur	1	33	Tamil Nadu	602	18.8180791051
Kancheepuram	3	33	Tamil Nadu	604	19.9152233035
Chennai	2	33	Tamil Nadu	603	62.9651677955
Vellore	4	33	Tamil Nadu	605	11.0527336572
Tiruvannamalai	5	33	Tamil Nadu	606	7.8505865881
Viluppuram	6	33	Tamil Nadu	607	9.3369233151
Puducherry	2	34	Puducherry	635	32.7909779879
Cuddalore	16	33	Tamil Nadu	617	14.2116531247
Nagappattinam	17	33	Tamil Nadu	618	9.6326268244
Ariyalur	15	33	Tamil Nadu	616	9.2101312214
Thanjavur	19	33	Tamil Nadu	620	11.4286449568
Karaikal	4	34	Puducherry	637	24.4974470094
Thiruvarur	18	33	Tamil Nadu	619	8.9208984432
Virudunagar	24	33	Tamil Nadu	625	8.3688319661
Pudukkottai	20	33	Tamil Nadu	621	7.9210058019
Ramanathapuram	25	33	Tamil Nadu	626	5.5616483701
Sivaganga	21	33	Tamil Nadu	622	7.290994573
Tiruchirappalli	13	33	Tamil Nadu	614	10.936675901
Madurai	22	33	Tamil Nadu	623	10.3852917359
Dindigul	11	33	Tamil Nadu	612	7.5091515201
Thoothukkudi	26	33	Tamil Nadu	627	8.849257538
Tirunelveli	27	33	Tamil Nadu	628	10.4425689753
Kollam	13	32	Kerala	600	10.0158285166
Thiruvananthapuram	14	32	Kerala	601	14.4333827324
Kanniyakumari	28	33	Tamil Nadu	629	13.7123816556
Alappuzha	11	32	Kerala	598	12.4051016701
Pathanamthitta	12	32	Kerala	599	5.1593843073
Kottayam	10	32	Kerala	597	9.1569076177
Idukki	9	32	Kerala	596	3.0410041747
Theni	23	33	Tamil Nadu	624	6.0505656943
Tiruppur	32	33	Tamil Nadu	633	11.3590634783
Coimbatore	31	33	Tamil Nadu	632	13.9616442835
Palakkad	6	32	Kerala	593	6.8077920667
Thrissur	7	32	Kerala	594	10.1678923679
Ernakulam	8	32	Kerala	595	17.7393044026
Lakshadweep	1	31	Lakshadweep	587	0.4554122099
Dakshina Kannada	21	29	Karnataka	575	7.4152119381
Udupi	15	29	Karnataka	569	5.2317052488
Kasaragod	1	32	Kerala	588	6.373476179
Kannur	2	32	Kerala	589	7.0007223198
Mahe	3	34	Puducherry	636	21.0625
Kozhikode	4	32	Kerala	591	8.5476678518
Kodagu	22	29	Karnataka	576	1.9986665817
Chikmagalur	16	29	Karnataka	570	3.0500264587
Hassan	20	29	Karnataka	574	6.3900227813
Mysore	23	29	Karnataka	577	9.0322123195
Tumkur	17	29	Karnataka	571	6.9674564449
Mandya	19	29	Karnataka	573	9.1090435457
Wayanad	3	32	Kerala	590	4.1806264274
Chamrajnagar	24	29	Karnataka	578	4.212543435
The Nilgiris	10	33	Tamil Nadu	611	4.9790307801
Malappuram	5	32	Kerala	592	6.7930561403
Erode	9	33	Tamil Nadu	610	8.3579723046
Namakkal	8	33	Tamil Nadu	609	12.9408392008
Salem	7	33	Tamil Nadu	608	13.4704462123
Karur	12	33	Tamil Nadu	613	9.4329977053
Perambalur	14	33	Tamil Nadu	615	8.1411075512
Dharmapuri	29	33	Tamil Nadu	630	6.4949947072
Krishnagiri	30	33	Tamil Nadu	631	7.4078710106
Kolar	27	29	Karnataka	581	10.2529352844
Bangalore Rural	29	29	Karnataka	583	15.9228409226
Chikkaballapura	28	29	Karnataka	582	8.138101309
Bangalore	18	29	Karnataka	572	41.6907558041
Ramanagara	30	29	Karnataka	584	10.0936841214
Anantapur	22	28	Andhra Pradesh	553	5.8333396418
Chitradurga	12	29	Karnataka	566	5.6479656461
Davanagere	13	29	Karnataka	567	5.969465044
Bellary	11	29	Karnataka	565	7.470267728
Kurnool	21	28	Andhra Pradesh	552	4.7350350027
Mahbubnagar	7	28	Andhra Pradesh	538	7.5075779361
Raichur	5	29	Karnataka	559	5.4325216275
Koppal	6	29	Karnataka	560	5.6627401622
Bagalkot	2	29	Karnataka	556	8.185651875
Gadag	7	29	Karnataka	561	4.2422021198
Belgaum	1	29	Karnataka	555	8.1483377849
Dharwad	8	29	Karnataka	562	7.1667649024
Haveri	10	29	Karnataka	564	6.2232072568
Uttara Kannada	9	29	Karnataka	563	1.9472462995
Shimoga	14	29	Karnataka	568	3.7279847925
South Goa	2	30	Goa	586	9.9107764751
North Goa	1	30	Goa	585	15.9994017528
Kolhapur	34	27	Maharashtra	530	8.062169194
Sindhudurg	33	27	Maharashtra	529	3.4526426866
Ratnagiri	32	27	Maharashtra	528	3.5736756547
Sangli	35	27	Maharashtra	531	7.1911078614
Solapur	30	27	Maharashtra	526	8.183841334
Satara	31	27	Maharashtra	527	7.1053379191
Pune	25	27	Maharashtra	521	12.6278508403
Raigarh	24	27	Maharashtra	520	10.2245581184
Ahmadnagar	26	27	Maharashtra	522	7.508868856
Bid	27	27	Maharashtra	523	6.0988052193
Osmanabad	29	27	Maharashtra	525	5.5900174098
Parbhani	17	27	Maharashtra	513	5.5781486259
Latur	28	27	Maharashtra	524	5.604256263
Gulbarga	25	29	Karnataka	579	6.4395615669
Bijapur	3	29	Karnataka	557	4.9635933372
Yadgir	26	29	Karnataka	580	5.2776862794
Bidar	4	29	Karnataka	558	6.8919242481
Rangareddy	6	28	Andhra Pradesh	537	17.8508945774
Medak	4	28	Andhra Pradesh	535	10.6045657041
Hyderabad	5	28	Andhra Pradesh	536	62.9875998848
Nizamabad	2	28	Andhra Pradesh	533	9.6161017444
Nanded	15	27	Maharashtra	511	5.0136838217
Hingoli	16	27	Maharashtra	512	4.8352896518
Jalna	18	27	Maharashtra	514	5.6201448891
Buldana	4	27	Maharashtra	500	4.8920279158
Washim	6	27	Maharashtra	502	4.8583582528
Akola	5	27	Maharashtra	501	5.93971209
Yavatmal	14	27	Maharashtra	510	4.557287354
Amravati	7	27	Maharashtra	503	4.402475512
Wardha	8	27	Maharashtra	504	4.9428466941
Burhanpur	50	23	Madhya Pradesh	467	1.5555851929
Jalgaon	3	27	Maharashtra	499	5.832143351
Dhule	2	27	Maharashtra	498	3.751049195
Aurangabad	19	27	Maharashtra	515	6.547900014
Nashik	20	27	Maharashtra	516	6.6472441975
Thane	21	27	Maharashtra	517	11.4775287747
The Dangs	22	24	Gujarat	489	0.7125392497
Valsad	24	24	Gujarat	491	8.8242148986
Navsari	23	24	Gujarat	490	7.9098197467
Tapi	26	24	Gujarat	493	5.0158220059
Surat	25	24	Gujarat	492	14.9199297642
Dadra & Nagar Haveli	1	26	Dadara & Nagar Havelli	496	20.7927698835
Daman	2	25	Daman & Diu	495	47.1707807487
Diu	1	25	Daman & Diu	494	21.8867609593
Mumbai Suburban	22	27	Maharashtra	518	57.4888653755
Mumbai	23	27	Maharashtra	519	52.804916986
