DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Ri Bhoi	5	17	Meghalaya	297	2.016703718
East Khasi Hills	6	17	Meghalaya	298	2.6615771343
West Khasi Hills	4	17	Meghalaya	296	0.1959785585
West Tripura	1	16	Tripura	289	7.8743994995
Dhalai	3	16	Tripura	291	1.8183980719
North Tripura	4	16	Tripura	292	2.8666016972
South Tripura	2	16	Tripura	290	4.1404801165
South Garo Hills	3	17	Meghalaya	295	0.2779243443
East Garo Hills	2	17	Meghalaya	294	0.4650758726
West Garo Hills	1	17	Meghalaya	293	0.5033062126
Dhubri	2	18	Assam	301	1.2186302414
Goalpara	3	18	Assam	302	3.0932221076
Bongaigaon	20	18	Assam	319	3.6092416892
Chirang	21	18	Assam	320	2.6966235363
Kokrajhar	1	18	Assam	300	1.6369540222
Barpeta	4	18	Assam	303	1.7889774661
Baksa	25	18	Assam	324	0.8831002299
Kamrup	22	18	Assam	321	4.3994870863
Kamrup Metropolitan	23	18	Assam	322	12.4871789743
Nalbari	24	18	Assam	323	2.8480881816
Darrang	26	18	Assam	325	2.858712071
Udalguri	27	18	Assam	326	2.6418655158
Leh (ladakh)	3	1	Jammu & Kashmir	3	0.0271587667
Data Not Available	99	99	Jammu & Kashmir	0	0.5170780025
Punch	5	1	Jammu & Kashmir	5	1.89673275
Kupwara	1	1	Jammu & Kashmir	1	0.3503637237
Baramula	8	1	Jammu & Kashmir	8	2.6317328914
Bandipore	9	1	Jammu & Kashmir	9	0.3602323916
Ganderbal	11	1	Jammu & Kashmir	11	0.0101662216
Srinagar	10	1	Jammu & Kashmir	10	6.7098156689
Badgam	2	1	Jammu & Kashmir	2	3.5358234377
Pulwama	12	1	Jammu & Kashmir	12	3.0033759619
Shupiyan	13	1	Jammu & Kashmir	13	0.5468349093
Rajouri	6	1	Jammu & Kashmir	6	1.6231056574
Kulgam	15	1	Jammu & Kashmir	15	0.3048302431
Anantnag	14	1	Jammu & Kashmir	14	0.6464848683
Kargil	4	1	Jammu & Kashmir	4	0.0634430518
Kishtwar	18	1	Jammu & Kashmir	18	0.0898648266
Lahul & Spiti	3	2	Himachal Pradesh	25	0.005023586
Chamba	1	2	Himachal Pradesh	23	0.776504372
