DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	avg_lights_x_pct	avg_vis	censuscode	cf_cvg	stable_lights
Bikaner	3	8	Rajasthan	1.37E+10	1.17E+11	101	1.90E+12	3.71E+10
Ganganagar	1	8	Rajasthan	1.64E+10	6.18E+10	99	7.02E+11	5.42E+10
Muktsar	10	3	Punjab	1.45E+10	2.57E+10	44	1.83E+11	2.57E+10
Firozpur	9	3	Punjab	3.45E+10	5.47E+10	43	3.50E+11	5.47E+10
Amritsar	15	3	Punjab	3.71E+10	4.21E+10	49	1.45E+11	4.21E+10
Gurdaspur	1	3	Punjab	3.16E+10	4.19E+10	35	1.85E+11	4.11E+10
Tarn Taran	16	3	Punjab	2.48E+10	3.05E+10	50	1.40E+11	3.05E+10
Kapurthala	2	3	Punjab	1.13E+10	1.76E+10	36	9.01E+10	1.76E+10
Jalandhar	3	3	Punjab	2.93E+10	3.70E+10	37	1.45E+11	3.70E+10
Hoshiarpur	4	3	Punjab	1.17E+10	2.62E+10	38	1.72E+11	2.44E+10
Kathua	7	1	Jammu & Kashmir	4.75E+09	1.31E+10	7	1.26E+11	8.15E+09
Samba	22	1	Jammu & Kashmir	3.69E+09	7.37E+09	22	5.26E+10	6.51E+09
Jammu	21	1	Jammu & Kashmir	1.88E+10	2.49E+10	21	1.09E+11	2.37E+10
Udhampur	19	1	Jammu & Kashmir	2.39E+09	1.07E+10	19	1.25E+11	4.31E+09
Doda	16	1	Jammu & Kashmir	6.68E+08	7.56E+09	16	1.15E+11	1.30E+09
Ramban	17	1	Jammu & Kashmir	2.00E+08	3.87E+09	17	5.86E+10	5.69E+08
Reasi	20	1	Jammu & Kashmir	1.80E+09	9.38E+09	20	1.23E+11	2.88E+09
Jaisalmer	16	8	Rajasthan	8.79E+09	1.31E+11	114	2.60E+12	1.70E+10
Jodhpur	15	8	Rajasthan	2.10E+10	1.04E+11	113	1.46E+12	5.25E+10
